	prev 	 next	 prev_priority	 next_priority	 prev_policy	 next_policy	 n_tickets	 switch_time 

log[0]:	 1284	 1284	 70	 70	3	 3	 140	 1489814 

log[1]:	 1284	 1285	 70	 70	3	 3	 300	 1489967 

log[2]:	 1285	 1284	 70	 70	3	 3	 300	 1490120 

log[3]:	 1284	 1284	 70	 70	3	 3	 325	 1490273 

log[4]:	 1284	 1284	 70	 70	3	 3	 350	 1490426 

log[5]:	 1284	 1285	 70	 70	3	 3	 375	 1490579 

log[6]:	 1285	 1285	 70	 70	3	 3	 425	 1490732 

log[7]:	 1285	 1284	 70	 70	3	 3	 425	 1490885 

log[8]:	 1284	 1284	 70	 70	3	 3	 475	 1491038 

log[9]:	 1284	 1284	 70	 70	3	 3	 500	 1491191 

log[10]:	 1284	 1284	 70	 70	3	 3	 500	 1491344 

log[11]:	 1284	 1285	 70	 70	3	 3	 500	 1491497 

log[12]:	 1285	 1285	 70	 70	3	 3	 500	 1491650 

log[13]:	 1285	 1284	 70	 70	3	 3	 500	 1491803 

log[14]:	 1284	 1285	 70	 70	3	 3	 500	 1491956 

log[15]:	 1285	 1284	 70	 70	3	 3	 500	 1492109 

log[16]:	 1284	 1285	 70	 70	3	 3	 500	 1492262 

log[17]:	 1285	 1285	 70	 70	3	 3	 500	 1492415 

log[18]:	 1285	 1285	 70	 70	3	 3	 525	 1492568 

log[19]:	 1285	 1285	 70	 70	3	 3	 525	 1492721 

log[20]:	 1285	 1284	 70	 70	3	 3	 525	 1492874 

log[21]:	 1284	 1284	 70	 70	3	 3	 550	 1493027 

log[22]:	 1284	 1284	 70	 70	3	 3	 550	 1493180 

log[23]:	 1284	 1285	 70	 70	3	 3	 550	 1493333 

log[24]:	 1285	 1285	 70	 70	3	 3	 550	 1493486 

log[25]:	 1285	 1285	 70	 70	3	 3	 575	 1493639 

log[26]:	 1285	 1284	 70	 70	3	 3	 575	 1493792 

log[27]:	 1284	 1285	 70	 70	3	 3	 575	 1493945 

log[28]:	 1285	 1285	 70	 70	3	 3	 575	 1494098 

log[29]:	 1285	 1285	 70	 70	3	 3	 575	 1494251 

log[30]:	 1285	 1285	 70	 70	3	 3	 575	 1494404 

log[31]:	 1285	 1285	 70	 70	3	 3	 575	 1494557 

log[32]:	 1285	 1284	 70	 70	3	 3	 575	 1494710 

log[33]:	 1284	 1285	 70	 70	3	 3	 575	 1494863 

log[34]:	 1285	 1284	 70	 70	3	 3	 575	 1495016 

log[35]:	 1284	 1285	 70	 70	3	 3	 575	 1495169 

log[36]:	 1285	 1284	 70	 70	3	 3	 575	 1495322 

log[37]:	 1284	 1285	 70	 70	3	 3	 575	 1495475 

log[38]:	 1285	 1284	 70	 70	3	 3	 575	 1495628 

log[39]:	 1284	 1284	 70	 70	3	 3	 575	 1495781 

log[40]:	 1284	 1285	 70	 70	3	 3	 575	 1495934 

log[41]:	 1285	 1284	 70	 70	3	 3	 575	 1496087 

log[42]:	 1284	 1284	 70	 70	3	 3	 575	 1496240 

log[43]:	 1284	 1284	 70	 70	3	 3	 575	 1496393 

log[44]:	 1284	 1285	 70	 70	3	 3	 575	 1496546 

